2017-07-01 00:00:00,218050,17.24524802,1
2017-07-01 04:00:00,219250,1.1,1
2017-07-01 08:00:00,223850,198.8165,1
2017-07-01 12:00:00,218900,335.2914,1
2017-07-01 16:00:00,214000,32.0052,1
2017-07-01 20:00:00,216100,26.0638,1
,,,
2017-07-02 00:00:00,213000,1,1
2017-07-02 04:00:00,211600,20.6847,1
2017-07-02 08:00:00,206400,131.7672,1
2017-07-02 12:00:00,206700,12.4852,1
2017-07-02 16:00:00,206300,35.42840385,1
2017-07-02 20:00:00,210200,143.8431,1
,,,
2017-07-03 00:00:00,207500,0.45980769,1
2017-07-03 04:00:00,207000,124.4205192,1
2017-07-03 08:00:00,210850,160.9728,1
2017-07-03 12:00:00,208250,9.84689091,1
2017-07-03 16:00:00,211000,39.3867,1
2017-07-03 20:00:00,210900,66.0272,1
,,,
2017-07-04 00:00:00,216000,102.6085031,1
2017-07-04 04:00:00,217100,14.58996541,1
2017-07-04 08:00:00,220100,118.2617,1
2017-07-04 12:00:00,217700,132.8701,1
2017-07-04 16:00:00,221500,20.40407087,1
2017-07-04 20:00:00,220800,29.7083,1
,,,
2017-07-05 00:00:00,220700,187.1323086,1
2017-07-05 04:00:00,220000,39.5669,1
2017-07-05 08:00:00,219100,50.024,1
2017-07-05 12:00:00,221000,74.62050705,1
2017-07-05 16:00:00,222500,198.9215096,1
2017-07-05 20:00:00,227750,209.8677308,1
,,,
2017-07-06 00:00:00,234700,1436.881514,1
2017-07-06 04:00:00,234600,288.1549,1
2017-07-06 08:00:00,242100,461.0391456,1
2017-07-06 12:00:00,269050,1827.347854,1
2017-07-06 16:00:00,249300,2861.071634,1
2017-07-06 20:00:00,246000,167.5700084,1
,,,
2017-07-07 00:00:00,252000,598.6213,1
2017-07-07 04:00:00,253150,102.4776,1
2017-07-07 08:00:00,253650,241.3293931,1
2017-07-07 12:00:00,242000,643.4687612,1
2017-07-07 16:00:00,241750,625.211504,1
2017-07-07 20:00:00,242500,761.9959521,1
